signal_index,fourier_freq_hz,ssa_freq_hz,diff_hz
0,20.01,20.01,0.0
1,24.0,24.0,0.0
2,24.0,20.02,-3.9800000000000004
3,24.0,19.98,-4.02
4,24.0,20.01,-3.9899999999999984
5,24.0,20.03,-3.969999999999999
6,24.0,19.97,-4.030000000000001
7,24.0,19.97,-4.030000000000001
8,24.0,19.98,-4.02
9,24.0,23.13,-0.870000000000001
10,24.0,19.98,-4.02
11,24.0,19.99,-4.010000000000002
12,24.0,19.97,-4.030000000000001
13,24.0,20.02,-3.9800000000000004
14,24.0,20.03,-3.969999999999999
15,24.0,20.0,-4.0
16,24.0,20.03,-3.969999999999999
17,24.0,20.02,-3.9800000000000004
18,24.0,20.02,-3.9800000000000004
19,24.0,20.03,-3.969999999999999
20,24.0,20.01,-3.9899999999999984
21,24.0,24.0,0.0
22,24.0,20.03,-3.969999999999999
23,24.0,20.02,-3.9800000000000004
24,24.0,20.01,-3.9899999999999984
25,24.0,19.98,-4.02
26,24.0,20.01,-3.9899999999999984
27,20.02,20.02,0.0
28,24.0,20.01,-3.9899999999999984
29,24.0,24.0,0.0
30,24.0,19.99,-4.010000000000002
31,24.0,20.02,-3.9800000000000004
32,24.0,19.97,-4.030000000000001
33,24.0,20.03,-3.969999999999999
34,24.0,20.02,-3.9800000000000004
35,24.0,20.02,-3.9800000000000004
36,24.0,24.0,0.0
37,24.0,23.1,-0.8999999999999986
38,24.0,19.99,-4.010000000000002
39,24.0,20.03,-3.969999999999999
40,20.02,20.02,0.0
41,24.0,24.0,0.0
42,24.0,23.16,-0.8399999999999999
43,24.0,24.0,0.0
44,20.02,20.02,0.0
45,24.0,19.97,-4.030000000000001
46,24.0,19.98,-4.02
47,24.0,20.02,-3.9800000000000004
48,24.0,23.11,-0.8900000000000006
49,24.0,20.03,-3.969999999999999
50,24.0,20.0,-4.0
51,24.0,20.04,-3.960000000000001
52,24.0,23.11,-0.8900000000000006
53,24.0,20.03,-3.969999999999999
54,24.0,19.98,-4.02
55,24.0,19.98,-4.02
56,24.0,23.11,-0.8900000000000006
57,24.0,20.02,-3.9800000000000004
58,24.0,19.98,-4.02
59,24.0,20.01,-3.9899999999999984
60,24.0,20.01,-3.9899999999999984
61,24.0,23.11,-0.8900000000000006
62,24.0,24.0,0.0
63,24.0,23.11,-0.8900000000000006
64,24.0,20.04,-3.960000000000001
65,24.0,20.0,-4.0
66,24.0,20.03,-3.969999999999999
67,24.0,19.98,-4.02
68,24.0,23.16,-0.8399999999999999
69,24.0,23.11,-0.8900000000000006
70,24.0,20.02,-3.9800000000000004
71,24.0,20.02,-3.9800000000000004
72,24.0,20.03,-3.969999999999999
73,24.0,24.0,0.0
74,24.0,24.0,0.0
75,24.0,20.03,-3.969999999999999
76,24.0,20.03,-3.969999999999999
77,24.0,23.11,-0.8900000000000006
78,24.0,19.98,-4.02
79,24.0,20.03,-3.969999999999999
80,24.0,20.02,-3.9800000000000004
81,24.0,20.03,-3.969999999999999
82,24.0,20.03,-3.969999999999999
83,24.0,24.0,0.0
84,24.0,20.03,-3.969999999999999
85,24.0,20.03,-3.969999999999999
86,24.0,20.01,-3.9899999999999984
87,24.0,20.0,-4.0
88,24.0,23.11,-0.8900000000000006
89,20.02,20.02,0.0
90,24.0,20.03,-3.969999999999999
91,24.0,19.99,-4.010000000000002
92,24.0,20.02,-3.9800000000000004
93,24.0,19.98,-4.02
94,24.0,19.97,-4.030000000000001
95,24.0,20.02,-3.9800000000000004
96,24.0,19.98,-4.02
97,24.0,19.99,-4.010000000000002
98,20.02,20.02,0.0
99,24.0,20.01,-3.9899999999999984
100,24.0,19.99,-4.010000000000002
101,24.0,20.02,-3.9800000000000004
102,24.0,19.97,-4.030000000000001
103,24.0,20.01,-3.9899999999999984
104,24.0,20.03,-3.969999999999999
105,24.0,20.03,-3.969999999999999
106,24.0,20.03,-3.969999999999999
107,24.0,20.02,-3.9800000000000004
108,24.0,24.0,0.0
109,24.0,19.99,-4.010000000000002
110,20.02,20.02,0.0
111,20.02,20.02,0.0
112,24.0,19.99,-4.010000000000002
113,24.0,20.03,-3.969999999999999
114,24.0,24.0,0.0
115,24.0,24.0,0.0
116,24.0,20.02,-3.9800000000000004
117,24.0,19.97,-4.030000000000001
118,24.0,20.04,-3.960000000000001
119,24.0,19.97,-4.030000000000001
120,20.02,20.02,0.0
121,24.0,20.0,-4.0
122,24.0,20.0,-4.0
123,24.0,19.97,-4.030000000000001
124,24.0,20.02,-3.9800000000000004
125,24.0,19.98,-4.02
